,Season,Difference,away,home,score,week,winner,homeATT,homeMID,homeDEF,homeOVR,awayATT,awayMID,awayDEF,awayOVR,homeworth,homeage,awayworth,awayage,homesupport,awaysupport
27,2016.0,2.0,KAYSERISPOR,BURSASPOR,3 - 1,4.0,home,70.0,72.0,71.0,72.0,73.0,72.0,70.0,71.0,48.98,24.4,45.85,25.0,16106.0,5524.0
28,2016.0,1.0,ANTALYASPOR A.Ş.,KARDEMIR KARABÜKSPOR,3 - 2,4.0,home,71.0,70.0,70.0,70.0,81.0,71.0,72.0,71.0,36.08,25.8,41.8,25.4,4422.0,12645.0
29,2016.0,3.0,TRABZONSPOR A.Ş.,AYTEMIZ ALANYASPOR,3 - 0,4.0,home,73.0,70.0,71.0,70.0,73.0,74.0,76.0,74.0,38.68,25.5,95.95,23.8,4541.0,17252.0
30,2016.0,2.0,ÇAYKUR RIZESPOR A.Ş.,GALATASARAY A.Ş.,2 - 0,4.0,home,76.0,77.0,74.0,76.0,76.0,68.0,68.0,69.0,129.35,25.1,34.68,22.6,21351.0,3369.0
31,2016.0,0.0,GENÇLERBIRLIĞI,ATIKER KONYASPOR,1 - 1,4.0,Draw,72.0,70.0,71.0,71.0,69.0,70.0,70.0,70.0,28.75,25.3,36.78,24.1,15723.0,2625.0
32,2016.0,1.0,ADANASPOR A.Ş.,OSMANLISPOR FUTBOL KULÜBÜ,1 - 0,4.0,home,74.0,74.0,72.0,73.0,71.0,67.0,69.0,69.0,56.7,25.1,19.98,23.7,3792.0,4594.0
33,2016.0,-2.0,BEŞIKTAŞ A.Ş.,AKHISAR BELEDIYE GENÇLIK VE SPOR,0 - 2,4.0,away,70.0,71.0,71.0,70.0,78.0,78.0,76.0,78.0,50.2,26.7,177.4,25.3,2501.0,30448.0
34,2016.0,-1.0,MEDIPOL BAŞAKŞEHIR FK,GAZIANTEPSPOR,0 - 1,4.0,away,71.0,69.0,68.0,70.0,78.0,75.0,73.0,75.0,40.55,24.6,72.95,26.4,4236.0,3208.0
35,2016.0,-4.0,FENERBAHÇE A.Ş.,KASIMPAŞA A.Ş.,1 - 5,4.0,away,69.0,71.0,71.0,70.0,80.0,77.0,78.0,77.0,39.5,23.4,168.68,24.8,1416.0,16485.0
36,2016.0,0.0,AKHISAR BELEDIYE GENÇLIK VE SPOR,ANTALYASPOR A.Ş.,0 - 0,5.0,Draw,81.0,71.0,72.0,71.0,70.0,71.0,71.0,70.0,41.8,25.4,50.2,26.7,12645.0,2501.0
37,2016.0,0.0,GALATASARAY A.Ş.,BEŞIKTAŞ A.Ş.,2 - 2,5.0,Draw,78.0,78.0,76.0,78.0,76.0,77.0,74.0,76.0,177.4,25.3,129.35,25.1,30448.0,21351.0
38,2016.0,1.0,ATIKER KONYASPOR,TRABZONSPOR A.Ş.,1 - 0,5.0,home,73.0,74.0,76.0,74.0,72.0,70.0,71.0,71.0,95.95,23.8,28.75,25.3,17252.0,15723.0
39,2016.0,0.0,OSMANLISPOR FUTBOL KULÜBÜ,MEDIPOL BAŞAKŞEHIR FK,2 - 2,5.0,Draw,78.0,75.0,73.0,75.0,74.0,74.0,72.0,73.0,72.95,26.4,56.7,25.1,3208.0,3792.0
40,2016.0,1.0,ÇAYKUR RIZESPOR A.Ş.,KAYSERISPOR,2 - 1,5.0,home,73.0,72.0,70.0,71.0,76.0,68.0,68.0,69.0,45.85,25.0,34.68,22.6,5524.0,3369.0
41,2016.0,1.0,GAZIANTEPSPOR,FENERBAHÇE A.Ş.,2 - 1,5.0,home,80.0,77.0,78.0,77.0,71.0,69.0,68.0,70.0,168.68,24.8,40.55,24.6,16485.0,4236.0
